0.0001,0.7072,0.7118
0.0002,0.7646,0.7465
0.0003,0.7845,0.7
0.0004,0.8002,0.7535
0.0005,0.8141,0.7
0.0006,0.8288,0.7535
0.0007,0.8367,0.7535
0.0008,0.848,0.7535
0.0009,0.8601,0.7535
0.001,0.8679,0.7535
0.002,0.8983,0.7569
0.003,0.927,0.7431
0.004,0.9461,0.7431
0.005,0.9522,0.7535
0.006,0.9618,0.7431
0.007,0.9652,0.7431
0.008,0.9748,0.7431
0.009,0.9791,0.7431
0.01,0.9835,0.7396
0.02,0.9957,0.7326
0.03,0.9991,0.7118
0.04,0.9991,0.7118
0.05,1.0,0.7083
0.06,1.0,0.7118
0.07,1.0,0.7118
0.08,1.0,0.7118
0.09,1.0,0.7118
0.1,1.0,0.7118
0.2,1.0,0.7118
0.3,1.0,0.7118
0.4,1.0,0.7118
0.5,1.0,0.7118
0.6,1.0,0.7118
0.7,1.0,0.7118
0.8,1.0,0.7118
0.9,1.0,0.7118
1.0,1.0,0.7118
2.0,1.0,0.7118
3.0,1.0,0.7118
4.0,1.0,0.7118
5.0,1.0,0.7118
6.0,1.0,0.7118
7.0,1.0,0.7118
8.0,1.0,0.7118
9.0,1.0,0.7118
0.002,0.8983,0.7569
